agir	to act/behave, take effect	[sound:agir.mp3]
aménager	to fit out, lay out, develop, plan, adjust	[sound:am%C3%A9nager.mp3]
amener	to bring<br />to lead<br /> <br />*<b>amener</b> is generally used with people, <b>apporter</b> with things.	[sound:amener.mp3]
amuser	to amuse, entertain	[sound:amuser.mp3]
animer	to host, present, lead, bring to life, drive, sustain	[sound:animer.mp3]
annoncer	to announce	[sound:annoncer.mp3]
apercevoir	to perceive	[sound:apercevoir.mp3]
apparaître	to appear	[sound:appara%C3%AEtre.mp3]
appartenir	to belong, pertain	[sound:appartenir.mp3]
mémoriser	to memorize	[sound:m%C3%A9moriser.mp3]
approcher	to approach, to come near, to bring near	[sound:approcher.mp3]
approuver	to approve (of)	[sound:approuver.mp3]
armer	to arm	[sound:armer.mp3]
arracher	to pull up/out, uproot	[sound:arracher.mp3]
arraisonner	to board	[sound:arraisonner.mp3]
arranger	to arrange	[sound:arranger.mp3]
assaillir	to assail, attack, beset	[sound:assaillir.mp3]
s'asseoir	to sit down	[sound:s%27asseoir.mp3]
assister	to attend<br>to assist (at)<br>to be present (at)	[sound:assister.mp3]
assurer	to assure, ensure, insure, guarantee	[sound:assurer.mp3]
astreindre	to compel, oblige	[sound:astreindre.mp3]
attaquer	to attack, contest, tackle, launch, start work on	[sound:attaquer.mp3]
atteindre	to attain	[sound:atteindre.mp3]
attirer	to attract, allure	[sound:attirer.mp3]
attraper	to catch	[sound:attraper.mp3]
augmenter	to augment, increase	[sound:augmenter.mp3]
avancer	to advance, go forward	[sound:avancer.mp3]
avoir raison	to be right	[sound:avoir+raison.mp3]
baisser	to lower, sink	[sound:baisser.mp3]
balancer	to sway, balance, swing<br />to weigh<br />to throw away	[sound:balancer.mp3]
balayer	to sweep	[sound:balayer.mp3]
bâtir	to build	[sound:b%C3%A2tir.mp3]
battre	to beat	[sound:battre.mp3]
bavarder	to chat	[sound:bavarder.mp3]
bêler	to whine (like a sheep)	[sound:b%C3%AAler.mp3]
bénir	to bless	[sound:b%C3%A9nir.mp3]
blaguer	to joke	[sound:blaguer.mp3]
blâmer	to blame	[sound:bl%C3%A2mer.mp3]
blanchir	to whiten, launder, exonerate	[sound:blanchir.mp3]
bouger	to budge, move	[sound:bouger.mp3]
bouillir	to boil	[sound:bouillir.mp3]
briser	to break, ruin (career, life), put an end to	[sound:briser.mp3]
brosser	to brush	[sound:brosser.mp3]
broyer	to grind	[sound:broyer.mp3]
casser	to break, crack, quash	[sound:casser.mp3]
causer	to chat, cause	[sound:causer.mp3]
céder	to yield, cede, give up	[sound:c%C3%A9der.mp3]
ceindre	to put on	[sound:ceindre.mp3]
célébrer	to celebrate	[sound:c%C3%A9l%C3%A9brer.mp3]
cesser	to cease	[sound:cesser.mp3]
chanter	to sing	[sound:chanter.mp3]
charger	to burden, charge, load	[sound:charger.mp3]
chasser	to hunt, chase, drive out	[sound:chasser.mp3]
cheminer	to walk along, follow its course	[sound:cheminer.mp3]
chercher	to look for	[sound:chercher.mp3]
chérir	to cherish	[sound:ch%C3%A9rir.mp3]
chuchoter	to whisper	[sound:chuchoter.mp3]
circoncire	to circumcise	[sound:circoncire.mp3]
circonscrire	to contain	[sound:circonscrire.mp3]
circonvenir	to circumvent<br>to get around	[sound:circonvenir.mp3]
clore	to close, end 	[sound:clore.mp3]
coller	to stick, paste, put	[sound:coller.mp3]
combattre	to combat, fight	[sound:combattre.mp3]
commander	to command, order	[sound:commander.mp3]
commettre	to commit	[sound:commettre.mp3]
comparaître	to appear in court 	[sound:compara%C3%AEtre.mp3]
comparer	to compare	[sound:comparer.mp3]
élire	to elect, choose	[sound:%C3%A9lire.mp3]
s'éloigner	to move away, go away, withdraw, step back, keep back, keep away	[sound:s%27%C3%A9loigner.mp3]
embrasser	to kiss, embrace	[sound:embrasser.mp3]
emmener	to lead, lead away, take away (persons)	[sound:emmener.mp3]
empêcher	to hinder, prevent	[sound:emp%C3%AAcher.mp3]
employer	to employ, use	[sound:employer.mp3]
emprunter	to borrow (from)	[sound:emprunter.mp3]
encourager	to encourage	[sound:encourager.mp3]
endormir	to fall asleep	[sound:endormir.mp3]
enfreindre	to infringe	[sound:enfreindre.mp3]
s'enfuir	to run away, slip away, escape, flee, fly away	[sound:s%27enfuir.mp3]
engager	to commit, bind	[sound:engager.mp3]
enjoindre	to enjoin, forbid, prohibit, command	[sound:enjoindre.mp3]
ennuyer	to bore, annoy, weary<br><br>s'ennuyer = to be bored	[sound:ennuyer.mp3]
énoncer	to express, state	[sound:%C3%A9noncer.mp3]
s'enquérir	to inquire	[sound:s%27enqu%C3%A9rir.mp3]
enregistrer	to record, register, enter, show	[sound:enregistrer.mp3]
enterrer	to bury	[sound:enterrer.mp3]
entraîner	to train, bring about, lead	[sound:entra%C3%AEner.mp3]
entreprendre	to undertake, engage upon	[sound:entreprendre.mp3]
entretenir	to look after	[sound:entretenir.mp3]
entrouvrir	to half-open	[sound:entrouvrir.mp3]
s'envoler	to take flight, take off	[sound:s%27envoler.mp3]
épeler	to spell	[sound:%C3%A9peler.mp3]
épouser	to marry	[sound:%C3%A9pouser.mp3]
